课次,阶段,模块,模块总学时,课程主题,核心知识与方法,教学重点 / 易错点,课堂实践（Notebook）,推荐数据集 / 比赛,工具 / 库,课后产出,验收标准,学时,累计学时,难度,前置知识,参考链接
1,A 数据与编程基础,Python 基础（第 1/2 节）,12,AI 学习地图、Notebook 环境与 Python 核心语法,AI、机器学习、深度学习与生成式 AI 的关系；Notebook 单元格执行顺序；变量、数值、字符串、布尔值、类型转换；运算符、if/elif/else、for、range；路径、随机种子与最小可复现实验,Python 基础只保留完成数据与模型实验所需内容；避免把 Notebook 的隐藏状态当作代码能力；区分赋值与比较；注意缩进、类型转换与循环边界,建立 Kaggle/Colab Notebook；完成成绩判定、区间统计和简单文本解析；读取一个小型 CSV；标注任务、特征、标签和评价指标,Iris；scikit-learn 合成分类数据；Titanic 小样本,Python、Jupyter、Kaggle/Colab、pathlib,一份可从头运行的 Notebook；8—10 个短练习；AI 任务结构说明卡,重启运行环境后可一次运行；基础练习正确率不少于 80%；能口头区分分类、回归与生成任务,2,2,入门,无,https://docs.python.org/3/tutorial/ | https://www.kaggle.com/docs/notebooks
2,A 数据与编程基础,Python 基础（第 2/2 节）,12,容器、函数、文件处理与调试,list、tuple、dict、set；索引、切片和推导式；函数参数、返回值与作用域；模块导入；try/except；CSV/JSON 文件；断言、打印调试和基础复杂度意识,Python 基础累计严格控制为 4 小时；优先学会读懂与修改实验代码；避免可变对象误用、字典键不存在、函数遗漏 return 和无意义过度封装,把重复的数据清洗步骤改写为小函数；读取 CSV/JSON；处理非法输入和缺失文件；用断言验证结果；完成一个简易实验日志记录器,学生成绩记录；零售订单小表；教师提供的脏 CSV,Python 标准库、csv、json、pathlib,包含 4—6 个函数的小型数据处理脚本；测试样例和异常说明,函数职责清晰；异常信息可读；能根据报错定位到具体行；代码不依赖手工修改路径,2,4,入门,第 1 节,https://docs.python.org/3/tutorial/datastructures.html | https://docs.python.org/3/tutorial/errors.html
3,A 数据与编程基础,NumPy 与张量思维,12,数组、形状、广播与向量化,ndarray、dtype、shape、ndim、axis；索引切片、布尔掩码、聚合；广播；随机数与随机种子；矩阵乘法；图像与批次张量的维度表示,真正理解 axis 和 shape；区分逐元素乘法与矩阵乘法；避免不必要的 Python 循环；为后续 PyTorch 张量和 CNN 奠定维度基础,用循环和向量化分别完成标准化、距离计算和线性预测；比较运行时间；可视化图像张量的 HWC/CHW 与批次维度变化,Wine；Fashion-MNIST 图像数组；合成矩阵,NumPy、Matplotlib,数组操作练习；运行时间对比图；5 个 shape 变化解释,向量化结果与循环一致；能正确选择 axis；能计算常见矩阵运算输出形状,2,6,入门,Python 基础,https://numpy.org/doc/stable/user/quickstart.html
4,A 数据与编程基础,Pandas 数据处理 I,12,读取、检查、索引与筛选,Series、DataFrame、read_csv；head/tail、shape、columns、info、describe；dtype；[]、loc、iloc；布尔筛选、isin、字符串条件、排序和 value_counts,区分标签索引与位置索引；筛选条件必须与行数对齐；先检查字段类型再计算；不要在不理解数据字典时直接建模,完成数据规模、字段、类型、缺失、重复和目标分布审计；回答不少于 8 个筛选、排序与条件统计问题,Titanic；Palmer Penguins,pandas,数据字典；基础质量报告；筛选问题答案,能准确提取指定行列；能发现类型异常、缺失和重复；结果可用代码复现,2,8,入门,Python 基础、NumPy,https://pandas.pydata.org/docs/getting_started/intro_tutorials/
5,A 数据与编程基础,Pandas 数据处理 II,12,清洗、变换、聚合与多表合并,缺失值与重复值；astype；字符串和日期处理；创建、删除与重命名列；groupby/agg、pivot_table；merge/join/concat；主键、重复键与 unmatched rows 检查,使用显式 .loc，避免链式赋值；清洗策略必须有理由；合并前后检查行数和键完整性；区分业务缺失与随机缺失,清洗一份脏订单数据；构造日期和金额特征；按类别聚合；合并订单、客户和商品表；输出未匹配记录,Online Retail 子集；教师提供的订单—客户—商品三表,pandas,clean.csv；清洗日志；聚合结果表；合并质量检查,字段类型正确；缺失处理可解释；合并行数符合预期；不存在意外重复主键,2,10,基础,第 4 节,https://pandas.pydata.org/docs/user_guide/merging.html | https://pandas.pydata.org/docs/user_guide/groupby.html
6,A 数据与编程基础,EDA、统计素养与可视化,12,从数据问题到图表证据,描述统计；分布、偏态、异常值和缺失模式；类别频数；双变量关系；相关性与因果性的区别；直方图、箱线图、柱状图、散点图、折线图；图表可读性,图表必须回答明确问题；变量类型决定图表；避免只展示漂亮图而没有结论；注意样本量、量纲、选择偏差和异常值影响,围绕数据集提出 5 个 EDA 问题；制作不少于 4 类图表；每张图写出发现、证据、限制与下一步建模假设,Palmer Penguins；Titanic；Gapminder 子集,pandas、Matplotlib,一份“问题—图表—结论”迷你 EDA 报告,标题、坐标轴和图例完整；图形匹配变量类型；至少 3 条结论有数据证据且不过度推断,2,12,基础,Pandas,https://matplotlib.org/stable/tutorials/index.html
7,B 机器学习核心,机器学习实验设计,16,任务定义、验证设计、指标与数据泄漏,分类、回归与排序；特征、标签与损失；训练/验证/测试；随机、分层、分组和时间切分；Dummy baseline；Accuracy、F1、ROC-AUC、Log Loss、MAE、RMSE；数据泄漏类型,先设计验证再训练；切分必须模拟测试集生成过程；指标要匹配类别分布与错误代价；排行榜不能替代本地验证,为 4 个真实场景选择切分与指标；制造目标泄漏、时间穿越和预处理泄漏；比较泄漏分数与真实分数,Titanic；House Prices；合成 Group/Time 数据,scikit-learn,验证设计说明；泄漏检查清单；Dummy baseline,能识别常见泄漏；切分方式匹配数据结构；指标选择有理由；基线可复现,2,14,基础,Pandas、EDA,https://scikit-learn.org/stable/modules/cross_validation.html | https://scikit-learn.org/stable/common_pitfalls.html
8,B 机器学习核心,线性模型与优化,16,线性回归与梯度下降,线性函数、参数与预测；均方误差；梯度、学习率、Batch/SGD；特征尺度；损失曲面；欠拟合、过拟合与 L1/L2 正则化直觉,理解梯度下降在优化什么，而非只背公式；学习率过大/过小的表现；标准化对收敛的影响；训练损失下降不等于泛化更好,用 NumPy 从零实现一元和多元线性回归梯度下降；绘制损失曲线与参数轨迹；比较 3 个学习率；与 sklearn 结果对照,California Housing 子集；合成回归数据,NumPy、Matplotlib、scikit-learn,梯度下降 Notebook；学习率实验表；误差解释,损失总体下降；参数接近 sklearn；能解释发散、震荡和收敛缓慢原因,2,16,基础,NumPy、基础代数,https://scikit-learn.org/stable/modules/linear_model.html
9,B 机器学习核心,概率分类,16,逻辑回归、交叉熵与分类阈值,Sigmoid、log-odds、二元交叉熵；概率输出与决策边界；混淆矩阵；Precision、Recall、F1、ROC-AUC、PR-AUC；阈值选择与概率校准,概率不等于类别；0.5 不是永远最佳阈值；类别不平衡时不能只看 Accuracy；避免在测试集上选阈值,训练逻辑回归；绘制决策边界、混淆矩阵、ROC 与 PR 曲线；调整阈值观察错误代价；检查校准曲线,Breast Cancer Wisconsin；Titanic,scikit-learn、Matplotlib,模型评估卡；阈值选择说明；误判样本分析,指标计算正确；阈值依据明确；能解释至少 5 个误判；验证集与测试集职责清楚,2,18,基础,第 7—8 节,https://scikit-learn.org/stable/modules/model_evaluation.html
10,B 机器学习核心,经典机器学习算法,16,KNN、朴素贝叶斯与 SVM 的归纳偏置,距离学习；K 值与局部决策；朴素贝叶斯独立性假设；最大间隔与核方法；标准化；超参数与决策边界；算法适用场景,KNN/SVM 对尺度敏感；朴素贝叶斯的独立性是建模假设；比较模型必须使用相同切分和预处理 Pipeline,比较 KNN、GaussianNB 和 SVM；使用 Pipeline 加标准化；绘制二维决策区域；比较训练时间、预测时间和 CV 方差,Wine；Breast Cancer；two moons 合成数据,scikit-learn、Matplotlib,三模型对比表；适用场景总结；决策边界图,使用一致 CV；能说明缩放影响；选择模型时同时考虑分数、速度和数据规模,2,20,基础,验证与指标,https://scikit-learn.org/stable/supervised_learning.html
